Country Name,Country Code,Year,unemployment
Cameroon,CMR,1992,8.999
"Congo, Dem. Rep.",COD,1992,3.36
"Congo, Rep.",COG,1992,19.92
Colombia,COL,1992,9.44
Comoros,COM,1992,4.532
Cabo Verde,CPV,1992,13.448
Costa Rica,CRI,1992,3.93
Caribbean small states,CSS,1992,17.0480242033489
Cuba,CUB,1992,8.778
Cyprus,CYP,1992,2.09
Czechia,CZE,1992,2.6
Germany,DEU,1992,6.323
Djibouti,DJI,1992,25.985
Denmark,DNK,1992,9.027
Dominican Republic,DOM,1992,6.7
Algeria,DZA,1992,24.38
East Asia & Pacific (excluding high income),EAP,1992,2.37611306626529
Early-demographic dividend,EAR,1992,6.40385203316569
East Asia & Pacific,EAS,1992,2.44648499638451
Europe & Central Asia (excluding high income),ECA,1992,5.21097173523188
Europe & Central Asia,ECS,1992,7.49470977836801
Ecuador,ECU,1992,4.346
"Egypt, Arab Rep.",EGY,1992,8.92
Euro area,EMU,1992,8.9295607186825
Eritrea,ERI,1992,5.256
Spain,ESP,1992,17.697
Estonia,EST,1992,3.681
Ethiopia,ETH,1992,3.379
European Union,EUU,1992,9.23724014256356
Fragile and conflict affected situations,FCS,1992,4.46040064545176
Finland,FIN,1992,11.595
Fiji,FJI,1992,4.653
France,FRA,1992,10.203
Gabon,GAB,1992,17.725
United Kingdom,GBR,1992,9.772
Georgia,GEO,1992,5.4
Ghana,GHA,1992,4.7
Guinea,GIN,1992,4.598
"Gambia, The",GMB,1992,9.961
Guinea-Bissau,GNB,1992,3.099
Equatorial Guinea,GNQ,1992,7.45
Greece,GRC,1992,8.927
Guatemala,GTM,1992,2.639
Guam,GUM,1992,3.837
Guyana,GUY,1992,11.9
High income,HIC,1992,7.0743716964588
"Hong Kong SAR, China",HKG,1992,1.96
Honduras,HND,1992,3.06
Heavily indebted poor countries (HIPC),HPC,1992,5.22404122059886
Croatia,HRV,1992,10.914
Haiti,HTI,1992,7.428
Hungary,HUN,1992,9.942
IBRD only,IBD,1992,5.03662437383886
IDA & IBRD total,IBT,1992,4.88353235871948
IDA total,IDA,1992,4.16210123816829
IDA blend,IDB,1992,3.31801481874556
Indonesia,IDN,1992,2.734
IDA only,IDX,1992,4.60260604186334
India,IND,1992,7.733
Ireland,IRL,1992,15.021
"Iran, Islamic Rep.",IRN,1992,10.653
Iraq,IRQ,1992,8.368
Iceland,ISL,1992,4.305
Israel,ISR,1992,14.08
Italy,ITA,1992,9.321
Jamaica,JAM,1992,6.389
Jordan,JOR,1992,19.945
Japan,JPN,1992,2.158
Kazakhstan,KAZ,1992,1.0
Kenya,KEN,1992,2.903
Kyrgyz Republic,KGZ,1992,1.1
Cambodia,KHM,1992,0.76
"Korea, Rep.",KOR,1992,2.513
Kuwait,KWT,1992,0.875
Latin America & Caribbean (excluding high income),LAC,1992,6.15573550892611
Lao PDR,LAO,1992,2.717
Lebanon,LBN,1992,8.259
Liberia,LBR,1992,2.623
Libya,LBY,1992,18.796
St. Lucia,LCA,1992,16.529
Latin America & Caribbean,LCN,1992,6.31959532715042
Least developed countries: UN classification,LDC,1992,4.60568742147814
Low income,LIC,1992,5.1478120355472
Sri Lanka,LKA,1992,14.22
Lower middle income,LMC,1992,6.09487874320769
Low & middle income,LMY,1992,4.7296058990377
Lesotho,LSO,1992,15.543
Late-demographic dividend,LTE,1992,3.66273118059671
Lithuania,LTU,1992,1.2
Luxembourg,LUX,1992,2.029
Latvia,LVA,1992,6.6
"Macao SAR, China",MAC,1992,2.196
Morocco,MAR,1992,13.8
Moldova,MDA,1992,3.7
Madagascar,MDG,1992,6.268
Maldives,MDV,1992,0.805
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1992,8.07812131463939
Mexico,MEX,1992,3.235
Middle income,MIC,1992,4.70555139426505
North Macedonia,MKD,1992,26.3
Mali,MLI,1992,1.483
Malta,MLT,1992,6.349
Myanmar,MMR,1992,0.8
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1992,8.16424834973306
Montenegro,MNE,1992,30.283
Mongolia,MNG,1992,5.843
Mozambique,MOZ,1992,3.033
Mauritania,MRT,1992,10.058
Mauritius,MUS,1992,9.451
Malawi,MWI,1992,5.073
Malaysia,MYS,1992,3.71
North America,NAC,1992,7.87315728585848
Namibia,NAM,1992,18.932
New Caledonia,NCL,1992,18.616
Niger,NER,1992,1.566
Nigeria,NGA,1992,3.81
Nicaragua,NIC,1992,7.838
Netherlands,NLD,1992,5.555
Norway,NOR,1992,5.91
Nepal,NPL,1992,10.493
New Zealand,NZL,1992,10.667
OECD members,OED,1992,7.26891880560992
Oman,OMN,1992,4.158
Other small states,OSS,1992,8.57246232840888
Pakistan,PAK,1992,0.596
Panama,PAN,1992,6.303
Peru,PER,1992,5.071
Philippines,PHL,1992,3.844
Papua New Guinea,PNG,1992,2.618
Poland,POL,1992,13.645
Pre-demographic dividend,PRE,1992,5.39167945098861
Puerto Rico (US),PRI,1992,16.93
"Korea, Dem. People's Rep.",PRK,1992,2.333
Portugal,PRT,1992,3.985
Paraguay,PRY,1992,4.98
West Bank and Gaza,PSE,1992,10.672
Pacific island small states,PSS,1992,3.88849468155863
Post-demographic dividend,PST,1992,6.91555480227677
French Polynesia,PYF,1992,11.731
Qatar,QAT,1992,0.87
Romania,ROU,1992,8.26
Russian Federation,RUS,1992,5.181
Rwanda,RWA,1992,12.12
South Asia,SAS,1992,7.31290035325642
Saudi Arabia,SAU,1992,7.2
Sudan,SDN,1992,15.702
Senegal,SEN,1992,2.926
Singapore,SGP,1992,3.09
Solomon Islands,SLB,1992,1.868
Sierra Leone,SLE,1992,4.266
El Salvador,SLV,1992,7.88
"Somalia, Fed. Rep.",SOM,1992,19.536
Serbia,SRB,1992,13.372
Sub-Saharan Africa (excluding high income),SSA,1992,6.97329026487411
South Sudan,SSD,1992,12.414
Sub-Saharan Africa,SSF,1992,6.60520095373451
Small states,SST,1992,10.1578177783841
Sao Tome and Principe,STP,1992,14.662
Suriname,SUR,1992,17.28
Slovak Republic,SVK,1992,12.192
Slovenia,SVN,1992,7.809
Sweden,SWE,1992,5.722
Eswatini,SWZ,1992,21.052
Syrian Arab Republic,SYR,1992,6.949
Chad,TCD,1992,0.664
East Asia & Pacific (IDA & IBRD countries),TEA,1992,2.3767716688128
Europe & Central Asia (IDA & IBRD countries),TEC,1992,6.35082862580249
Togo,TGO,1992,4.222
Thailand,THA,1992,1.35
Tajikistan,TJK,1992,1.85
Turkmenistan,TKM,1992,1.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,1992,6.17702254687019
Timor-Leste,TLS,1992,3.537
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1992,8.15330672799949
Tonga,TON,1992,1.35
South Asia (IDA & IBRD),TSA,1992,7.31290035325642
Sub-Saharan Africa (IDA & IBRD countries),TSS,1992,6.6052009537345
Trinidad and Tobago,TTO,1992,19.66
Tunisia,TUN,1992,15.616
Turkiye,TUR,1992,8.509
Tanzania,TZA,1992,3.679
Uganda,UGA,1992,3.556
Ukraine,UKR,1992,1.9
Upper middle income,UMC,1992,3.84766257345218
Uruguay,URY,1992,8.96
United States,USA,1992,7.5
Uzbekistan,UZB,1992,2.9
St. Vincent and the Grenadines,VCT,1992,19.545
"Venezuela, RB",VEN,1992,7.69
Virgin Islands (U.S.),VIR,1992,11.891
Viet Nam,VNM,1992,2.11
Vanuatu,VUT,1992,7.964
World,WLD,1992,5.29010950422846
Samoa,WSM,1992,2.44
"Yemen, Rep.",YEM,1992,8.342
South Africa,ZAF,1992,23.262
Zambia,ZMB,1992,19.544
Zimbabwe,ZWE,1992,4.938
Africa Eastern and Southern,AFE,1993,8.26632715332635
Afghanistan,AFG,1993,7.888
Africa Western and Central,AFW,1993,4.36980488975891
Angola,AGO,1993,17.399
Albania,ALB,1993,25.251
Arab World,ARB,1993,12.9182743533617
United Arab Emirates,ARE,1993,1.905
Argentina,ARG,1993,10.1
Armenia,ARM,1993,5.3
Australia,AUS,1993,10.879
Austria,AUT,1993,4.25
Azerbaijan,AZE,1993,4.5
Burundi,BDI,1993,3.08
Belgium,BEL,1993,8.078
Benin,BEN,1993,1.495
Burkina Faso,BFA,1993,2.438
Bangladesh,BGD,1993,2.311
Bulgaria,BGR,1993,16.4
Bahrain,BHR,1993,0.884
"Bahamas, The",BHS,1993,12.72
Bosnia and Herzegovina,BIH,1993,19.454
Belarus,BLR,1993,8.5
Belize,BLZ,1993,9.78
Bolivia,BOL,1993,3.05
Brazil,BRA,1993,6.03
Barbados,BRB,1993,24.54
Brunei Darussalam,BRN,1993,4.806
Bhutan,BTN,1993,1.433
Botswana,BWA,1993,18.759
Central African Republic,CAF,1993,5.521
Canada,CAN,1993,11.377
Central Europe and the Baltics,CEB,1993,11.7123255728987
Switzerland,CHE,1993,3.551
Channel Islands,CHI,1993,7.299
Chile,CHL,1993,4.49
China,CHN,1993,2.69
Cote d'Ivoire,CIV,1993,5.866
Cameroon,CMR,1993,9.089
"Congo, Dem. Rep.",COD,1993,3.433
"Congo, Rep.",COG,1993,19.985
Colombia,COL,1993,7.8
Comoros,COM,1993,4.576
Cabo Verde,CPV,1993,13.314
Costa Rica,CRI,1993,3.95
Caribbean small states,CSS,1993,16.8574223870992
Cuba,CUB,1993,9.261
Cyprus,CYP,1993,2.7
Czechia,CZE,1993,4.349
Germany,DEU,1993,7.675
Djibouti,DJI,1993,26.728
Denmark,DNK,1993,10.719
Dominican Republic,DOM,1993,6.331
Algeria,DZA,1993,26.23
East Asia & Pacific (excluding high income),EAP,1993,2.62714147268806
Early-demographic dividend,EAR,1993,6.58222654047382
East Asia & Pacific,EAS,1993,2.70120675237843
Europe & Central Asia (excluding high income),ECA,1993,5.89729410212216
Europe & Central Asia,ECS,1993,8.65485924634432
Ecuador,ECU,1993,4.415
"Egypt, Arab Rep.",EGY,1993,10.92
Euro area,EMU,1993,10.6900899017753
Eritrea,ERI,1993,5.33
Spain,ESP,1993,22.156
Estonia,EST,1993,6.544
Ethiopia,ETH,1993,3.235
European Union,EUU,1993,10.8578041270804
Fragile and conflict affected situations,FCS,1993,4.48511360325192
Finland,FIN,1993,16.201
Fiji,FJI,1993,4.702
France,FRA,1993,11.32
Gabon,GAB,1993,17.78
United Kingdom,GBR,1993,10.346
Georgia,GEO,1993,5.4
Ghana,GHA,1993,5.239
Guinea,GIN,1993,4.573
"Gambia, The",GMB,1993,9.986
Guinea-Bissau,GNB,1993,3.148
Equatorial Guinea,GNQ,1993,7.594
Greece,GRC,1993,10.177
Guatemala,GTM,1993,2.599
Guam,GUM,1993,5.527
Guyana,GUY,1993,11.71
High income,HIC,1993,7.65353065101961
"Hong Kong SAR, China",HKG,1993,1.96
Honduras,HND,1993,3.097
Heavily indebted poor countries (HIPC),HPC,1993,5.21990582085918
Croatia,HRV,1993,10.794
Haiti,HTI,1993,7.595
Hungary,HUN,1993,12.098
IBRD only,IBD,1993,5.26619682672302
IDA & IBRD total,IBT,1993,5.08729851309731
IDA total,IDA,1993,4.25632659767863
IDA blend,IDB,1993,3.54042458720673
Indonesia,IDN,1993,2.782
IDA only,IDX,1993,4.62916363020761
India,IND,1993,7.75
Ireland,IRL,1993,15.571
"Iran, Islamic Rep.",IRN,1993,10.567
Iraq,IRQ,1993,8.381
Iceland,ISL,1993,5.257
Israel,ISR,1993,12.741
Italy,ITA,1993,10.212
Jamaica,JAM,1993,6.236
Jordan,JOR,1993,19.7
Japan,JPN,1993,2.539
Kazakhstan,KAZ,1993,1.11
Kenya,KEN,1993,2.985
Kyrgyz Republic,KGZ,1993,1.248
Cambodia,KHM,1993,0.745
"Korea, Rep.",KOR,1993,2.878
Kuwait,KWT,1993,0.8
Latin America & Caribbean (excluding high income),LAC,1993,5.95219035354473
Lao PDR,LAO,1993,2.739
Lebanon,LBN,1993,8.262
Liberia,LBR,1993,2.493
Libya,LBY,1993,19.005
St. Lucia,LCA,1993,16.8
Latin America & Caribbean,LCN,1993,6.08657875513374
Least developed countries: UN classification,LDC,1993,4.62350308295004
Low income,LIC,1993,5.17480777171577
Sri Lanka,LKA,1993,13.82
Lower middle income,LMC,1993,6.21668474518991
Low & middle income,LMY,1993,4.92235424839868
Lesotho,LSO,1993,15.658
Late-demographic dividend,LTE,1993,3.87786965365609
Lithuania,LTU,1993,13.8
Luxembourg,LUX,1993,2.33
Latvia,LVA,1993,16.7
"Macao SAR, China",MAC,1993,2.057
Morocco,MAR,1993,14.029
Moldova,MDA,1993,3.7
Madagascar,MDG,1993,6.307
Maldives,MDV,1993,0.792
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1993,8.53668096633965
Mexico,MEX,1993,3.365
Middle income,MIC,1993,4.90769832753591
North Macedonia,MKD,1993,27.7
Mali,MLI,1993,1.423
Malta,MLT,1993,6.346
Myanmar,MMR,1993,0.784
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1993,8.69620378299141
Montenegro,MNE,1993,30.348
Mongolia,MNG,1993,5.845
Mozambique,MOZ,1993,2.899
Mauritania,MRT,1993,9.874
Mauritius,MUS,1993,9.512
Malawi,MWI,1993,5.002
Malaysia,MYS,1993,4.11
North America,NAC,1993,7.34989291267264
Namibia,NAM,1993,19.104
New Caledonia,NCL,1993,18.803
Niger,NER,1993,1.539
Nigeria,NGA,1993,4.038
Nicaragua,NIC,1993,7.862
Netherlands,NLD,1993,6.287
Norway,NOR,1993,5.965
Nepal,NPL,1993,10.517
New Zealand,NZL,1993,9.804
OECD members,OED,1993,7.76154926727535
Oman,OMN,1993,4.004
Other small states,OSS,1993,9.43460429257527
Pakistan,PAK,1993,0.61
Panama,PAN,1993,6.364
Peru,PER,1993,4.803
Philippines,PHL,1993,3.863
Papua New Guinea,PNG,1993,2.397
Poland,POL,1993,14.393
Pre-demographic dividend,PRE,1993,5.45673808203558
Puerto Rico (US),PRI,1993,16.91
"Korea, Dem. People's Rep.",PRK,1993,2.433
Portugal,PRT,1993,5.301
Paraguay,PRY,1993,5.06
West Bank and Gaza,PSE,1993,10.685
Pacific island small states,PSS,1993,3.9473819076677
Post-demographic dividend,PST,1993,7.51316458861482
French Polynesia,PYF,1993,11.786
Qatar,QAT,1993,0.87
Romania,ROU,1993,8.273
Russian Federation,RUS,1993,5.883
Rwanda,RWA,1993,12.154
South Asia,SAS,1993,7.32742874238053
Saudi Arabia,SAU,1993,7.078
Sudan,SDN,1993,15.52
Senegal,SEN,1993,2.881
Singapore,SGP,1993,3.07
Solomon Islands,SLB,1993,1.846
Sierra Leone,SLE,1993,4.285
El Salvador,SLV,1993,9.94
"Somalia, Fed. Rep.",SOM,1993,19.491
Serbia,SRB,1993,13.395
Sub-Saharan Africa (excluding high income),SSA,1993,7.04125765823132
South Sudan,SSD,1993,12.242
Sub-Saharan Africa,SSF,1993,6.65001756927665
Small states,SST,1993,10.6785053201654
Sao Tome and Principe,STP,1993,14.476
Suriname,SUR,1993,15.64
Slovak Republic,SVK,1993,12.2
Slovenia,SVN,1993,8.51
Sweden,SWE,1993,9.33
Eswatini,SWZ,1993,21.75
Syrian Arab Republic,SYR,1993,7.4
Chad,TCD,1993,0.7
East Asia & Pacific (IDA & IBRD countries),TEA,1993,2.6301198290109
Europe & Central Asia (IDA & IBRD countries),TEC,1993,7.02964263363322
Togo,TGO,1993,4.491
Thailand,THA,1993,1.49
Tajikistan,TJK,1993,2.65
Turkmenistan,TKM,1993,1.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,1993,5.92716879500619
Timor-Leste,TLS,1993,3.556
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1993,8.68736536190533
Tonga,TON,1993,1.3
South Asia (IDA & IBRD),TSA,1993,7.32742874238053
Sub-Saharan Africa (IDA & IBRD countries),TSS,1993,6.65001756927665
Trinidad and Tobago,TTO,1993,19.81
Tunisia,TUN,1993,15.954
Turkiye,TUR,1993,8.962
Tanzania,TZA,1993,3.878
Uganda,UGA,1993,3.497
Ukraine,UKR,1993,2.0
Upper middle income,UMC,1993,4.08701140580402
Uruguay,URY,1993,8.35
United States,USA,1993,6.9
Uzbekistan,UZB,1993,4.9
St. Vincent and the Grenadines,VCT,1993,19.667
"Venezuela, RB",VEN,1993,6.6
Virgin Islands (U.S.),VIR,1993,11.989
Viet Nam,VNM,1993,2.038
Vanuatu,VUT,1993,8.288
World,WLD,1993,5.55969439262019
Samoa,WSM,1993,2.69
"Yemen, Rep.",YEM,1993,8.344
South Africa,ZAF,1993,23.179
Zambia,ZMB,1993,19.7
Zimbabwe,ZWE,1993,4.99
Africa Eastern and Southern,AFE,1994,8.13829095077232
Afghanistan,AFG,1994,7.822
Africa Western and Central,AFW,1994,4.39378131016295
Angola,AGO,1994,17.4
Albania,ALB,1994,20.835
Arab World,ARB,1994,13.0251716620291
United Arab Emirates,ARE,1994,1.836
Argentina,ARG,1994,11.76
Armenia,ARM,1994,6.6
Australia,AUS,1994,9.724
Austria,AUT,1994,3.535
Azerbaijan,AZE,1994,6.3
Burundi,BDI,1994,3.095
Belgium,BEL,1994,9.645
Benin,BEN,1994,1.455
Burkina Faso,BFA,1994,2.58
Bangladesh,BGD,1994,2.371
Bulgaria,BGR,1994,12.8
Bahrain,BHR,1994,1.009
"Bahamas, The",BHS,1994,13.83
Bosnia and Herzegovina,BIH,1994,20.383
Belarus,BLR,1994,12.8
Belize,BLZ,1994,11.1
Bolivia,BOL,1994,3.08
Brazil,BRA,1994,6.578
Barbados,BRB,1994,22.98
