Country Name,Country Code,Year,gdp
Portugal,PRT,1961,3573719084.53354
Paraguay,PRY,1961,322053713.15873
Post-demographic dividend,PST,1961,1104850963886.88
Rwanda,RWA,1961,122000016.0
South Asia,SAS,1961,46076379864.3708
Saudi Arabia,SAU,1961,1920811284.22222
Sudan,SDN,1961,1222860428.55503
Senegal,SEN,1961,1058975256.97025
Singapore,SGP,1961,764629788.123689
Sierra Leone,SLE,1961,327978758.169935
"Somalia, Fed. Rep.",SOM,1961,191659914.376034
Sub-Saharan Africa (excluding high income),SSA,1961,35780361714.624
Sub-Saharan Africa,SSF,1961,37526753959.5638
Suriname,SUR,1961,107700000.0
Sweden,SWE,1961,17329819493.9904
Eswatini,SWZ,1961,43026042.7895829
Seychelles,SYC,1961,11592023.7636487
Syrian Arab Republic,SYR,1961,945244972.067039
Chad,TCD,1961,333975336.110722
East Asia & Pacific (IDA & IBRD countries),TEA,1961,71174424446.8864
Togo,TGO,1961,178497098.264275
Thailand,THA,1961,3034037810.96795
Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,82211199117.8387
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1961,22717751213.0431
South Asia (IDA & IBRD),TSA,1961,46076379864.3708
Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,37526753959.5638
Trinidad and Tobago,TTO,1961,584964620.921781
Tunisia,TUN,1961,866155428.571429
Turkiye,TUR,1961,7988888888.88889
Tanzania,TZA,1961,2826179031.22839
Uganda,UGA,1961,441667334.611947
Upper middle income,UMC,1961,165949963434.517
Uruguay,URY,1961,1547388781.43133
United States,USA,1961,562640778342.419
St. Vincent and the Grenadines,VCT,1961,13999965.0000875
"Venezuela, RB",VEN,1961,8067267030.61863
World,WLD,1961,1444155801377.01
South Africa,ZAF,1961,9225996309.60148
Zambia,ZMB,1961,682359727.329053
Zimbabwe,ZWE,1961,1096646688.30019
Africa Eastern and Southern,AFE,1962,27078015031.423
Africa Western and Central,AFW,1962,13630920944.3637
Arab World,ARB,1962,20327670811.8221
Argentina,ARG,1962,18337691145.3688
Australia,AUS,1962,19923683187.7893
Austria,AUT,1962,7793042529.15992
Burundi,BDI,1962,213500006.0
Belgium,BEL,1962,13436827166.5187
Benin,BEN,1962,236434954.038578
Burkina Faso,BFA,1962,379567099.249422
Bangladesh,BGD,1962,5081413541.66667
"Bahamas, The",BHS,1962,212170033.947205
Belize,BLZ,1962,31857591.8575919
Bermuda,BMU,1962,80700000.0
Bolivia,BOL,1962,443916666.666667
Brazil,BRA,1962,19231747851.5332
Barbados,BRB,1962,88782583.460208
Botswana,BWA,1962,35644956.6430429
Central African Republic,CAF,1962,124482773.83306
Canada,CAN,1962,42336211555.8268
Switzerland,CHE,1962,12989649694.2812
Chile,CHL,1962,5765971144.47142
China,CHN,1962,47310737754.2287
Cote d'Ivoire,CIV,1962,645284473.733691
Cameroon,CMR,1962,694247864.3789
"Congo, Dem. Rep.",COD,1962,3779841428.57143
"Congo, Rep.",COG,1962,166521239.650243
Colombia,COL,1962,4955538218.81618
Costa Rica,CRI,1962,479180824.348506
Caribbean small states,CSS,1962,1356047349.50434
Germany,DEU,1962,105895435234.343
Denmark,DNK,1962,7953274741.29303
Dominican Republic,DOM,1962,824100000.0
Algeria,DZA,1962,2001444543.91885
East Asia & Pacific (excluding high income),EAP,1962,64989160572.5447
Early-demographic dividend,EAR,1962,159279576287.343
East Asia & Pacific,EAS,1962,162235847091.903
Europe & Central Asia,ECS,1962,513050276877.711
Ecuador,ECU,1962,1518207703.48997
"Egypt, Arab Rep.",EGY,1962,4035462027.39753
Euro area,EMU,1962,309382572892.233
Spain,ESP,1962,16609632790.5843
Ethiopia,ETH,1962,1747566307.0997
European Union,EUU,1962,349919463897.586
Fragile and conflict affected situations,FCS,1962,39277362286.5115
Finland,FIN,1962,6407796042.70357
Fiji,FJI,1962,122906434.957814
France,FRA,1962,74888595285.8833
Gabon,GAB,1962,182796536.266025
United Kingdom,GBR,1962,81247564156.8246
Ghana,GHA,1962,1382515654.47343
Equatorial Guinea,GNQ,1962,37253333.3333333
Greece,GRC,1962,5140542929.42067
Guatemala,GTM,1962,1143600000.0
Guyana,GUY,1962,194949512.626218
High income,HIC,1962,1261935408422.94
"Hong Kong SAR, China",HKG,1962,1612346412.26475
Honduras,HND,1962,387750000.0
Heavily indebted poor countries (HIPC),HPC,1962,24433565058.8556
Haiti,HTI,1962,281896800.0
IBRD only,IBD,1962,313944444688.976
IDA & IBRD total,IBT,1962,365941814306.201
IDA total,IDA,1962,49170793034.9193
IDA blend,IDB,1962,14221830055.6742
IDA only,IDX,1962,36260305491.5032
India,IND,1962,42161481858.0819
Ireland,IRL,1962,2329372971.89171
"Iran, Islamic Rep.",IRN,1962,4693566416.48845
Iraq,IRQ,1962,1784174540.73018
Iceland,ISL,1962,289200704.382542
Israel,ISR,1962,2966154031.33123
Italy,ITA,1962,52413872628.0045
Jamaica,JAM,1962,777727688.908924
Japan,JPN,1962,64987857541.6256
Kenya,KEN,1962,868111400.75544
St. Kitts and Nevis,KNA,1962,12541635.3125784
"Korea, Rep.",KOR,1962,2814615384.61538
Kuwait,KWT,1962,1828107502.79955
Latin America & Caribbean (excluding high income),LAC,1962,70686211017.7114
Liberia,LBR,1962,191861800.0
Libya,LBY,1962,619725784.909686
Latin America & Caribbean,LCN,1962,91996181795.0916
Least developed countries: UN classification,LDC,1962,31833014650.5411
Sri Lanka,LKA,1962,1434156378.60082
Lower middle income,LMC,1962,92612225623.4481
Low & middle income,LMY,1962,273550159206.626
Lesotho,LSO,1962,41859983.2560067
Late-demographic dividend,LTE,1962,174128566256.843
Luxembourg,LUX,1962,747846862.209673
Morocco,MAR,1962,2379611124.61442
Madagascar,MDG,1962,739286907.592778
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1962,30832534298.4054
Mexico,MEX,1962,15200000000.0
Middle income,MIC,1962,260453743715.403
Myanmar,MMR,1962,634528872.02036
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1962,23311084904.7026
Mauritania,MRT,1962,164271557.513473
Mauritius,MUS,1962,197738207.858208
Malaysia,MYS,1962,2001489602.18475
North America,NAC,1962,647146555462.323
Niger,NER,1962,531736599.250464
Nigeria,NGA,1962,4909399176.24033
Nicaragua,NIC,1962,269283803.686825
Netherlands,NLD,1962,15847582341.1664
Norway,NOR,1962,6107076928.63372
Nepal,NPL,1962,574091101.194382
New Zealand,NZL,1962,6133158532.21667
OECD members,OED,1962,1224905315850.37
Oman,OMN,1962,56273202.1971746
Pakistan,PAK,1962,4310163796.72407
Panama,PAN,1962,652120900.0
Peru,PER,1962,3284322201.27831
Philippines,PHL,1962,4954593071.82796
Papua New Guinea,PNG,1962,261184041.789447
Pre-demographic dividend,PRE,1962,27674869515.1484
Puerto Rico (US),PRI,1962,2094400000.0
Portugal,PRT,1962,3835883663.25123
Paraguay,PRY,1962,360698412.698413
Post-demographic dividend,PST,1962,1195652635369.47
Rwanda,RWA,1962,125000008.0
South Asia,SAS,1962,49304727903.0606
Saudi Arabia,SAU,1962,2130606531.77778
Sudan,SDN,1962,1328259624.72217
Senegal,SEN,1962,1085475790.59112
Singapore,SGP,1962,826239211.817511
Sierra Leone,SLE,1962,342872549.019608
"Somalia, Fed. Rep.",SOM,1962,203531927.547229
Sub-Saharan Africa (excluding high income),SSA,1962,38749449748.2552
Sub-Saharan Africa,SSF,1962,40559057024.696
Suriname,SUR,1962,116150000.0
Sweden,SWE,1962,18794282716.8476
Eswatini,SWZ,1962,45927961.6288154
Seychelles,SYC,1962,12642025.9161531
Syrian Arab Republic,SYR,1962,1110565880.75881
Chad,TCD,1962,357635713.41932
East Asia & Pacific (IDA & IBRD countries),TEA,1962,64922599309.2546
Togo,TGO,1962,186745757.859216
Thailand,THA,1962,3308912796.93487
Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,86250253553.4591
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1962,23127900672.4986
South Asia (IDA & IBRD),TSA,1962,49304727903.0607
Sub-Saharan Africa (IDA & IBRD countries),TSS,1962,40559057024.696
Trinidad and Tobago,TTO,1962,619322810.026308
Tunisia,TUN,1962,880027733.333333
Turkiye,TUR,1962,8922222222.22222
Tanzania,TZA,1962,3101589992.664
Uganda,UGA,1962,449158233.391351
Upper middle income,UMC,1962,167408278557.337
Uruguay,URY,1962,1710004407.22785
United States,USA,1962,604729643906.496
St. Vincent and the Grenadines,VCT,1962,14524963.6875908
"Venezuela, RB",VEN,1962,8814309884.21165
World,WLD,1962,1545552148962.66
South Africa,ZAF,1962,9813996074.40157
Zambia,ZMB,1962,679279728.55982
Zimbabwe,ZWE,1962,1117601689.98745
Africa Eastern and Southern,AFE,1963,31774831212.1934
Africa Western and Central,AFW,1963,14469258364.511
Arab World,ARB,1963,22362957745.8378
Argentina,ARG,1963,18272123664.4715
Australia,AUS,1963,21540963446.5541
Austria,AUT,1963,8414050621.01716
Burundi,BDI,1963,232749998.0
Belgium,BEL,1963,14445805381.3872
Benin,BEN,1963,253927697.25805
Burkina Faso,BFA,1963,394040667.106335
Bangladesh,BGD,1963,5319458562.5
"Bahamas, The",BHS,1963,237650038.024006
Belize,BLZ,1963,33750113.7501138
Bermuda,BMU,1963,82600000.0
Bolivia,BOL,1963,478000000.0
Brazil,BRA,1963,23287712878.2002
Barbados,BRB,1963,99893761.2655968
Botswana,BWA,1963,38091842.8546863
Central African Republic,CAF,1963,129379123.76305
Canada,CAN,1963,45140337826.9869
Switzerland,CHE,1963,14283872299.0456
Chile,CHL,1963,5702520146.03167
China,CHN,1963,50812227918.5753
Cote d'Ivoire,CIV,1963,761047198.029653
Cameroon,CMR,1963,718320845.044338
"Congo, Dem. Rep.",COD,1963,6213185742.57426
"Congo, Rep.",COG,1963,172233430.657858
Colombia,COL,1963,4836166666.66667
Costa Rica,CRI,1963,511902136.809973
Caribbean small states,CSS,1963,1447988752.00055
Germany,DEU,1963,112232503744.1
Denmark,DNK,1963,8466044979.87996
Dominican Republic,DOM,1963,940799900.0
Algeria,DZA,1963,2702982017.63803
East Asia & Pacific (excluding high income),EAP,1963,70288432260.5341
Early-demographic dividend,EAR,1963,175838996671.714
East Asia & Pacific,EAS,1963,181059952883.138
Europe & Central Asia,ECS,1963,561060730171.943
Ecuador,ECU,1963,1824343870.71407
"Egypt, Arab Rep.",EGY,1963,4187146231.56839
Euro area,EMU,1963,340512613283.205
Spain,ESP,1963,19631714759.6491
Ethiopia,ETH,1963,1825058827.83853
European Union,EUU,1963,384463996600.823
Fragile and conflict affected situations,FCS,1963,44889781805.2417
Finland,FIN,1963,6958916548.12933
Fiji,FJI,1963,129454728.623599
France,FRA,1963,83957182115.028
Gabon,GAB,1963,154480244.055222
United Kingdom,GBR,1963,86561961812.3249
Ghana,GHA,1963,1540797588.57221
Equatorial Guinea,GNQ,1963,44266666.6666667
Greece,GRC,1963,5813285626.64404
Guatemala,GTM,1963,1262800000.0
Guyana,GUY,1963,175757893.938598
High income,HIC,1963,1357542627897.02
"Hong Kong SAR, China",HKG,1963,1935298266.45384
Honduras,HND,1963,410200000.0
Heavily indebted poor countries (HIPC),HPC,1963,28730956733.7076
Haiti,HTI,1963,294883400.0
IBRD only,IBD,1963,346402444203.097
IDA & IBRD total,IBT,1963,403916731998.057
IDA total,IDA,1963,54375709826.2398
IDA blend,IDB,1963,15144589924.4184
IDA only,IDX,1963,40820946962.173
India,IND,1963,48421923459.1235
Ireland,IRL,1963,2505073357.88508
"Iran, Islamic Rep.",IRN,1963,4928628018.38944
Iraq,IRQ,1963,1805901510.0394
Iceland,ISL,1963,345175036.090555
Israel,ISR,1963,3535949088.90947
Italy,ITA,1963,60035924617.9277
Jamaica,JAM,1963,826706669.317332
Japan,JPN,1963,74379284603.3875
Kenya,KEN,1963,926589349.36426
St. Kitts and Nevis,KNA,1963,12833301.2500802
"Korea, Rep.",KOR,1963,3988461538.46154
Kuwait,KWT,1963,1900895856.66293
Latin America & Caribbean (excluding high income),LAC,1963,77701940345.8025
Liberia,LBR,1963,200229600.0
Libya,LBY,1963,892327910.668836
Latin America & Caribbean,LCN,1963,100007055792.697
Least developed countries: UN classification,LDC,1963,36562974917.712
Sri Lanka,LKA,1963,1240672268.90756
Lower middle income,LMC,1963,102475341915.668
Low & middle income,LMY,1963,303408778559.212
Lesotho,LSO,1963,47039981.1840075
Late-demographic dividend,LTE,1963,189966817399.977
Luxembourg,LUX,1963,797902154.238122
Morocco,MAR,1963,2657252578.30763
Madagascar,MDG,1963,759345863.732667
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1963,33981027251.5874
Mexico,MEX,1963,16960000000.0
Middle income,MIC,1963,286972299645.555
Myanmar,MMR,1963,598998418.724583
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1963,25680699750.2423
Mauritania,MRT,1963,168186297.281077
Mauritius,MUS,1963,253839557.949558
Malaysia,MYS,1963,2510110348.16184
North America,NAC,1963,683603820946.27
Niger,NER,1963,586294878.744643
Nigeria,NGA,1963,5165590253.7639
Nicaragua,NIC,1963,297324163.095513
Netherlands,NLD,1963,17193744109.0367
Norway,NOR,1963,6553269535.51009
Nepal,NPL,1963,496947904.443033
New Zealand,NZL,1963,6699741645.07827
OECD members,OED,1963,1318610119973.85
Oman,OMN,1963,59912762.5382854
Pakistan,PAK,1963,4630827383.45233
Panama,PAN,1963,722784500.0
Peru,PER,1963,3598272493.3109
Philippines,PHL,1963,5505023238.40669
Papua New Guinea,PNG,1963,275968044.154887
Pre-demographic dividend,PRE,1963,31993355907.8867
Puerto Rico (US),PRI,1963,2333600000.0
Portugal,PRT,1963,4084251592.81599
Paraguay,PRY,1963,383904761.904762
Post-demographic dividend,PST,1963,1286627331165.29
Rwanda,RWA,1963,128000000.0
South Asia,SAS,1963,55539363101.615
Saudi Arabia,SAU,1963,2207393171.55556
Sudan,SDN,1963,1351234926.33899
Senegal,SEN,1963,1122139861.67805
Singapore,SGP,1963,917608012.491752
Sierra Leone,SLE,1963,348700980.392157
"Somalia, Fed. Rep.",SOM,1963,216145935.941626
Sub-Saharan Africa (excluding high income),SSA,1963,44259238556.1443
Sub-Saharan Africa,SSF,1963,46133563240.6732
Suriname,SUR,1963,125950000.0
Sweden,SWE,1963,20342365392.2225
Eswatini,SWZ,1963,54129438.3482247
Seychelles,SYC,1963,13923028.5422085
Syrian Arab Republic,SYR,1963,1200447408.37696
Chad,TCD,1963,371767002.194886
East Asia & Pacific (IDA & IBRD countries),TEA,1963,70216443534.957
Togo,TGO,1963,202305865.235908
Thailand,THA,1963,3540403456.55305
Latin America & the Caribbean (IDA & IBRD countries),TLA,1963,93696406086.8332
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1963,25478894502.4197
South Asia (IDA & IBRD),TSA,1963,55539363101.615
Sub-Saharan Africa (IDA & IBRD countries),TSS,1963,46133563240.6733
Trinidad and Tobago,TTO,1963,678239329.401676
Tunisia,TUN,1963,1026737600.0
Turkiye,TUR,1963,10355555555.5556
Tanzania,TZA,1963,3456579293.44828
Uganda,UGA,1963,516315231.449087
Upper middle income,UMC,1963,184008926344.438
Uruguay,URY,1963,1539681490.78174
United States,USA,1963,638380883119.283
St. Vincent and the Grenadines,VCT,1963,13708299.0625857
"Venezuela, RB",VEN,1963,9608717288.17057
World,WLD,1963,1671283302003.2
South Africa,ZAF,1963,10854195658.3217
Zambia,ZMB,1963,704339718.545848
Zimbabwe,ZWE,1963,1159511793.36199
Africa Eastern and Southern,AFE,1964,30284919141.1811
Africa Western and Central,AFW,1964,15803936677.0543
Arab World,ARB,1964,24811627225.8981
Argentina,ARG,1964,25605249381.7597
Australia,AUS,1964,23801123808.1798
Austria,AUT,1964,9213648655.97511
Burundi,BDI,1964,260750008.0
Belgium,BEL,1964,16168044450.2523
Benin,BEN,1964,269819005.87814
Burkina Faso,BFA,1964,410321644.964911
Bangladesh,BGD,1964,5386054833.33333
"Bahamas, The",BHS,1964,266560042.649607
Belize,BLZ,1964,36194586.1945862
Bermuda,BMU,1964,92200000.0
Bolivia,BOL,1964,538583333.333333
Brazil,BRA,1964,20963733694.9749
Barbados,BRB,1964,99252731.4515047
